id,Name,Host Name,Host Listings Count,status,Previous Listing Name,Previous Host Name,Previous Host Listings Count,latitude,longitude,total_listing_bin
1399169746887649497,Ampio e luminoso appartamento,Matteo,1,New,,,0.0,43.784413,11.2646043,1
1399197142987459171,Perseo Apartment by Mamo Florence,Mamo,201,New,,,0.0,43.7690808099611,11.256208383348884,50+
1399222600340097053,The Vintage Nook - Comfortable Home,ApartmentsFlorence,57,New (from previous),Lenny Deluxe flat in city center,Francesco,9.0,43.7805617,11.2629305,50+
1399222600340097053,The Vintage Nook - Comfortable Home,ApartmentsFlorence,57,New (from previous),Maison - Luxury and Design Three-Room Apartment,Emanuele Papi,32.0,43.7805617,11.2629305,50+
1399222600340097053,The Vintage Nook - Comfortable Home,ApartmentsFlorence,57,New (from previous),"Ava, Deluxe flat in city center",Francesco,9.0,43.7805617,11.2629305,50+
1399222600340097053,The Vintage Nook - Comfortable Home,ApartmentsFlorence,57,New (from previous),"Noa, Deluxe flat in city center",Francesco,9.0,43.7805617,11.2629305,50+
1399271088658643487,YiD  Stylish San Frediano Retreat,Roberto,115,New,,,0.0,43.77039,11.2444,50+
1399277022493593133,Il Girasole,Joshua,11,New,,,0.0,43.7701342,11.2179599,5-50
1399292627442203698,Futura's Flat in Santo Spirito,Martina,3,New,,,0.0,43.7665727,11.2480623,2-5
1399295184671840046,"Light, Art, Space 15 mins from the Historic Center",Josè,9,New,,,0.0,43.7859886,11.2573889,5-50
1399362908094148859,Little 2 alle porte di San Frediano,Holidu,488,New,,,0.0,43.771067,11.2321273,50+
1399446251183830560,Casa di Gio for 4 people,Lorenzo,70,New,,,0.0,43.772078204062375,11.267275754725484,50+
1399808912360681430,Lenny 600 metri dal DUOMO,Pasquale,4,New,,,0.0,43.77972528765949,11.263407532384775,2-5
1399818706423244994,Florence Central Suite1 By MMega,Edoardo,404,New,,,0.0,43.771288,11.2622258,50+
1399830128709292097,Toscanella Escape - Toscanelli Escape,Alessandro,167,New,,,0.0,43.76797,11.25146,50+
1399845770661018222,Florence Central Suite2 By MMega,Edoardo,404,New,,,0.0,43.771288,11.2622258,50+
1399852598407626914,Valia Florence Ponte Vecchio 3,Marina,19,New,,,0.0,43.76575925790444,11.2506274644933,5-50
1399856099543063171,Valia Florence Ponte Vecchio 4,Marina,19,New,,,0.0,43.76659890000001,11.2500159,5-50
1399901444199415099,IL Bindolo,Joshua,11,New,,,0.0,43.76779330170224,11.192868287286922,5-50
1399954104525699482,NOA appartamento LUXE in centro,Pasquale,4,New,,,0.0,43.78160008471344,11.263263450692964,2-5
1399985215452332563,[Oltrarno Elegance] Hidden Gem with Florence Views,Giovanni,25,New,,,0.0,43.7671809,11.2491375,5-50
1399990558400134731,Gabrielle comodo appartamento in centro di Firenze,Pasquale,4,New,,,0.0,43.78025210524415,11.26386786178723,2-5
1400012394554202934,YiD YiD Your quiet escape in the city center,Roberto,115,New,,,0.0,43.77184,11.2455,50+
1400035540947172453,Le Petit BSJ By MMega,Edoardo,404,New,,,0.0,43.7676218,11.252153,50+
1400162667312917326,Simo's Lodging - In Florence’s Historic Heart,Laura,1,New,,,0.0,43.778149,11.253763,1
1400463007648151956,Rifugio Perfetto per coppie,Marco,1,New,,,0.0,43.78804104309121,11.246568168085895,1
